id	alergia	descripcion
895	et commodo	convallis duis consequat dui nec nisi volutpat eleifend
896	duis mattis	ut suscipit a feugiat et eros vestibulum ac
897	faucibus orci	blandit nam nulla integer pede justo lacinia eget
898	felis fusce	dapibus augue vel accumsan tellus nisi eu orci
899	eu interdum	augue quam sollicitudin vitae consectetuer eget rutrum at
900	non lectus	luctus ultricies eu nibh quisque id justo sit
901	tortor duis	et ultrices posuere cubilia curae nulla dapibus dolor
902	ut nulla	turpis a pede posuere nonummy integer non velit
903	sit amet	morbi non quam nec dui luctus rutrum nulla
904	sed tristique	enim blandit mi in porttitor pede justo eu
905	integer a	rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
906	vulputate ut	non mauris morbi non lectus aliquam sit amet
907	accumsan tortor	ut erat curabitur gravida nisi at nibh in
908	tellus semper	nibh in lectus pellentesque at nulla suspendisse potenti
909	est lacinia	aliquam lacus morbi quis tortor id nulla ultrices
910	porttitor id	dui nec nisi volutpat eleifend donec ut dolor
911	et ultrices	phasellus id sapien in sapien iaculis congue vivamus
912	mauris eget	a feugiat et eros vestibulum ac est lacinia
913	ligula suspendisse	cubilia curae donec pharetra magna vestibulum aliquet ultrices
914	purus phasellus	quis justo maecenas rhoncus aliquam lacus morbi quis
915	adipiscing elit	lacinia aenean sit amet justo morbi ut odio
916	faucibus orci	ante ipsum primis in faucibus orci luctus et
917	non lectus	metus sapien ut nunc vestibulum ante ipsum primis
918	libero nam	auctor gravida sem praesent id massa id nisl
919	bibendum felis	tempor convallis nulla neque libero convallis eget eleifend
920	elementum eu	neque aenean auctor gravida sem praesent id massa
921	morbi sem	ac lobortis vel dapibus at diam nam tristique
922	ultrices vel	luctus cum sociis natoque penatibus et magnis dis
923	non mauris	nulla sed accumsan felis ut at dolor quis
924	rhoncus mauris	eu nibh quisque id justo sit amet sapien
925	ac consequat	congue diam id ornare imperdiet sapien urna pretium
926	praesent blandit	dui vel nisl duis ac nibh fusce lacus
927	ipsum dolor	quam suspendisse potenti nullam porttitor lacus at turpis
928	pretium quis	pretium quis lectus suspendisse potenti in eleifend quam
929	ut dolor	congue vivamus metus arcu adipiscing molestie hendrerit at
930	diam neque	libero non mattis pulvinar nulla pede ullamcorper augue
931	semper rutrum	venenatis lacinia aenean sit amet justo morbi ut
932	in tempus	sollicitudin vitae consectetuer eget rutrum at lorem integer
933	elementum eu	ac est lacinia nisi venenatis tristique fusce congue
934	diam id	pellentesque quisque porta volutpat erat quisque erat eros
935	duis bibendum	nullam orci pede venenatis non sodales sed tincidunt
936	auctor sed	ultrices posuere cubilia curae duis faucibus accumsan odio
937	ante ipsum	non lectus aliquam sit amet diam in magna
938	elit sodales	hendrerit at vulputate vitae nisl aenean lectus pellentesque
939	ultrices libero	nibh in quis justo maecenas rhoncus aliquam lacus
940	fusce posuere	urna pretium nisl ut volutpat sapien arcu sed
941	viverra dapibus	pede justo eu massa donec dapibus duis at
942	habitasse platea	nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
943	mauris morbi	ipsum primis in faucibus orci luctus et ultrices
944	convallis nulla	et ultrices posuere cubilia curae duis faucibus accumsan
945	vestibulum ante	posuere nonummy integer non velit donec diam neque
946	maecenas leo	tempus semper est quam pharetra magna ac consequat
947	vitae consectetuer	sit amet consectetuer adipiscing elit proin interdum mauris
948	at turpis	sed tristique in tempus sit amet sem fusce
949	in sapien	quam sapien varius ut blandit non interdum in
950	integer ac	lacinia erat vestibulum sed magna at nunc commodo
951	mauris ullamcorper	facilisi cras non velit nec nisi vulputate nonummy
952	ut mauris	in leo maecenas pulvinar lobortis est phasellus sit
953	feugiat et	neque duis bibendum morbi non quam nec dui
954	nisi volutpat	ridiculus mus etiam vel augue vestibulum rutrum rutrum
955	mauris ullamcorper	morbi quis tortor id nulla ultrices aliquet maecenas
956	eu tincidunt	orci luctus et ultrices posuere cubilia curae duis
957	posuere nonummy	tortor quis turpis sed ante vivamus tortor duis
958	elit sodales	a odio in hac habitasse platea dictumst maecenas
959	sollicitudin vitae	consequat in consequat ut nulla sed accumsan felis
960	tincidunt eget	justo morbi ut odio cras mi pede malesuada
961	pretium iaculis	in hac habitasse platea dictumst etiam faucibus cursus
962	sit amet	quam suspendisse potenti nullam porttitor lacus at turpis
963	ut at	velit id pretium iaculis diam erat fermentum justo
964	a libero	nam ultrices libero non mattis pulvinar nulla pede
965	erat quisque	id massa id nisl venenatis lacinia aenean sit
966	vehicula consequat	mi in porttitor pede justo eu massa donec
967	in ante	lectus aliquam sit amet diam in magna bibendum
968	fusce congue	sit amet consectetuer adipiscing elit proin interdum mauris
969	consectetuer eget	enim lorem ipsum dolor sit amet consectetuer adipiscing
970	quisque ut	congue diam id ornare imperdiet sapien urna pretium
971	lorem ipsum	diam cras pellentesque volutpat dui maecenas tristique est
972	vivamus vel	a libero nam dui proin leo odio porttitor
973	montes nascetur	id turpis integer aliquet massa id lobortis convallis
974	diam erat	dui proin leo odio porttitor id consequat in
975	volutpat quam	non lectus aliquam sit amet diam in magna
976	enim leo	erat curabitur gravida nisi at nibh in hac
977	eget tempus	non velit donec diam neque vestibulum eget vulputate
978	elit proin	aliquam convallis nunc proin at turpis a pede
979	ultrices mattis	pede justo lacinia eget tincidunt eget tempus vel
980	blandit mi	magna vulputate luctus cum sociis natoque penatibus et
981	lacus curabitur	pede lobortis ligula sit amet eleifend pede libero
982	sociis natoque	eu magna vulputate luctus cum sociis natoque penatibus
983	tortor sollicitudin	sed ante vivamus tortor duis mattis egestas metus
984	consectetuer eget	lectus aliquam sit amet diam in magna bibendum
985	suspendisse accumsan	magna bibendum imperdiet nullam orci pede venenatis non
986	integer non	turpis enim blandit mi in porttitor pede justo
987	cum sociis	integer a nibh in quis justo maecenas rhoncus
988	vehicula consequat	tempus semper est quam pharetra magna ac consequat
989	ligula in	vestibulum vestibulum ante ipsum primis in faucibus orci
990	at vulputate	lobortis vel dapibus at diam nam tristique tortor
991	turpis nec	quam nec dui luctus rutrum nulla tellus in
992	neque vestibulum	lorem quisque ut erat curabitur gravida nisi at
993	in lectus	ipsum aliquam non mauris morbi non lectus aliquam
994	lacinia eget	eget elit sodales scelerisque mauris sit amet eros
995	sollicitudin vitae	turpis sed ante vivamus tortor duis mattis egestas
996	amet diam	nec molestie sed justo pellentesque viverra pede ac
997	praesent id	vitae nisi nam ultrices libero non mattis pulvinar
998	vulputate luctus	odio odio elementum eu interdum eu tincidunt in
999	convallis tortor	ipsum primis in faucibus orci luctus et ultrices
1000	eget nunc	turpis elementum ligula vehicula consequat morbi a ipsum
